"veh_lo","Count"
"0.0",3868089
"0",594571
"1",367515
"2",226289
"3",148551
"4",103407
"5",74140
"6",55992
"7",42676
"8",33594
"9",26726
"10",21624
"11",17998
"12",14794
"13",12341
"14",10339
"15",8864
"16",7573
"17",6588
"18",5775
"19",4839
"20",4225
"21",3713
"22",3294
"23",2901
"24",2567
"25",2364
"26",1966
"27",1783
"28",1608
"29",1419
"30",1284
"31",1106
"32",988
"33",913
"34",798
"35",731
"36",689
"37",590
"38",524
"39",456
"40",432
"41",376
"42",334
"43",328
"44",310
"45",307
"46",253
"47",237
"48",195
"49",191
"50",165
"51",164
"52",146
"53",140
"54",131
"56",126
"55",118
"57",92
"59",90
"58",86
"62",78
"60",75
"61",68
"65",62
"69",59
"63",58
"64",53
"68",47
"66",46
"71",44
"70",40
"67",36
"72",30
"76",29
"78",28
"82",27
"77",27
"75",27
"80",24
"79",23
"73",23
"85",22
"74",20
"86",19
"84",19
"83",17
"81",16
"88",14
"92",12
"89",12
"95",11
"94",11
"91",9
"96",8
"101",7
"93",6
"87",6
"97",5
"90",5
"110",5
"106",5
"104",5
"102",5
"99",4
"134",4
"120",4
"109",4
"107",4
"98",3
"162",3
"137",3
"129",3
"118",3
"115",3
"114",3
"113",3
"111",3
"105",3
"100",3
"145",2
"123",2
"117",2
"108",2
"103",2
"160",1
"154",1
"153",1
"142",1
"139",1
"138",1
"136",1
"133",1
"132",1
"131",1
"128",1
"127",1
"125",1
"122",1
"121",1
"119",1
"112",1
