"veh_medlo","Count"
"0.0",3868089
"0",565876
"1",368827
"2",226929
"3",150055
"4",104299
"5",76095
"6",57804
"7",44761
"8",35483
"9",28502
"10",23545
"11",19416
"12",16183
"13",13557
"14",11548
"15",9738
"16",8330
"17",7195
"18",6197
"19",5418
"20",4851
"21",4086
"22",3667
"23",3258
"24",2910
"25",2556
"26",2294
"27",1968
"28",1825
"29",1644
"30",1416
"31",1306
"32",1162
"34",972
"33",972
"35",858
"36",850
"37",722
"38",612
"39",540
"40",530
"41",419
"42",367
"43",358
"44",323
"45",311
"46",253
"47",235
"49",224
"48",213
"51",200
"50",192
"52",159
"54",128
"55",114
"53",112
"56",96
"57",94
"60",74
"59",74
"58",73
"61",65
"65",56
"63",55
"64",45
"67",41
"66",41
"62",37
"68",36
"71",34
"70",28
"75",25
"74",24
"73",24
"72",23
"76",22
"69",20
"79",17
"78",16
"80",15
"81",14
"77",14
"95",9
"82",9
"84",8
"94",7
"93",7
"88",6
"85",6
"92",5
"91",5
"90",5
"87",5
"83",5
"86",4
"99",3
"97",3
"89",3
"124",3
"108",3
"100",3
"98",2
"96",2
"118",2
"113",2
"110",2
"107",2
"106",2
"105",2
"102",2
"101",2
"147",1
"140",1
"133",1
"132",1
"130",1
"127",1
"125",1
"121",1
"120",1
"111",1
"109",1
"104",1
