"veh_medhi","Count"
"0.0",3868089
"0",502011
"1",359376
"2",234132
"3",162461
"4",116920
"5",87268
"6",66925
"7",52458
"8",41792
"9",33680
"10",27392
"11",22199
"12",18391
"13",15326
"14",12745
"15",10640
"16",8810
"17",7426
"18",6352
"19",5401
"20",4801
"21",3841
"22",3345
"23",2790
"24",2399
"25",2036
"26",1771
"27",1508
"28",1265
"29",1058
"30",859
"31",766
"32",700
"33",610
"34",531
"35",446
"36",337
"37",324
"38",313
"39",267
"40",188
"41",187
"42",154
"43",150
"45",117
"44",115
"47",78
"46",75
"49",67
"48",66
"51",53
"53",50
"52",50
"57",48
"54",46
"50",44
"55",42
"59",33
"58",29
"61",23
"56",23
"62",22
"63",21
"69",20
"60",19
"65",18
"64",14
"66",13
"68",10
"73",8
"71",8
"70",7
"67",7
"79",6
"89",5
"83",5
"78",5
"77",5
"72",5
"80",4
"76",4
"75",4
"138",4
"82",3
"99",2
"96",2
"95",2
"93",2
"88",2
"87",2
"86",2
"85",2
"74",2
"97",1
"90",1
"84",1
"81",1
"154",1
"152",1
"146",1
"135",1
"134",1
"132",1
"129",1
"112",1
"103",1
"100",1
