"veh_hi","Count"
"0.0",3868089
"0",440569
"1",340860
"2",239384
"3",173539
"4",131784
"5",101218
"6",78894
"7",62438
"8",49652
"9",40075
"10",32013
"11",25558
"12",20607
"13",16528
"14",13268
"15",10471
"16",8596
"17",6911
"18",5605
"19",4477
"20",3690
"21",2960
"22",2463
"23",1888
"24",1529
"25",1255
"26",1104
"27",842
"28",749
"29",626
"30",505
"31",450
"32",381
"33",305
"34",258
"35",221
"36",215
"37",166
"38",152
"40",121
"39",110
"41",109
"42",104
"43",86
"44",71
"45",70
"46",69
"48",57
"49",55
"50",46
"47",46
"51",43
"53",35
"55",30
"52",28
"56",26
"57",22
"54",22
"62",19
"61",16
"58",16
"64",13
"60",12
"59",12
"65",11
"69",10
"63",8
"66",6
"70",5
"67",5
"93",4
"92",4
"78",4
"72",4
"68",4
"95",3
"80",3
"79",3
"74",3
"71",3
"97",2
"90",2
"88",2
"83",2
"77",2
"73",2
"113",2
"100",2
"99",1
"96",1
"94",1
"86",1
"85",1
"84",1
"81",1
"75",1
"144",1
"135",1
"130",1
"128",1
"125",1
"119",1
"114",1
"107",1
"105",1
"103",1
"101",1
