"comm_geo","Count"
"0",5282906
"1",152465
"2",75233
"3",42655
"4",27037
"5",19228
"6",13731
"7",10690
"8",8415
"9",7099
"10",5851
"11",4771
"12",4046
"13",3456
"14",2863
"15",2606
"16",2255
"17",2034
"18",1685
"19",1614
"20",1543
"21",1269
"22",1197
"23",1044
"24",902
"26",815
"25",800
"27",745
"28",737
"29",696
"30",677
"32",570
"31",569
"33",504
"35",419
"34",410
"36",388
"39",313
"40",307
"37",307
"38",286
"41",283
"44",254
"42",250
"43",243
"45",231
"49",188
"47",187
"46",175
"48",173
"50",157
"53",147
"52",139
"51",135
"56",124
"59",122
"54",121
"57",113
"58",111
"60",109
"55",108
"61",103
"65",78
"64",77
"62",74
"67",66
"71",64
"70",64
"63",63
"83",62
"68",60
"66",60
"69",54
"78",51
"72",51
"90",50
"79",48
"89",46
"81",46
"88",45
"77",45
"74",45
"73",45
"80",44
"76",42
"75",42
"82",37
"101",36
"85",35
"95",33
"93",32
"84",31
"87",30
"86",29
"99",28
"98",27
"94",25
"92",25
"96",23
"91",23
"107",21
"115",20
"132",19
"100",19
"109",18
"112",17
"108",17
"105",17
"104",17
"103",17
"118",16
"114",16
"106",16
"133",15
"110",15
"97",14
"141",14
"131",14
"119",14
"111",14
"102",14
"130",13
"124",13
"121",13
"134",12
"128",12
"117",12
"157",11
"126",11
"113",11
"152",10
"147",10
"127",10
"125",10
"135",9
"213",8
"178",8
"160",8
"155",8
"145",8
"139",8
"123",8
"223",7
"198",7
"175",7
"171",7
"164",7
"163",7
"150",7
"146",7
"140",7
"136",7
"129",7
"122",7
"120",7
"214",6
"212",6
"190",6
"176",6
"170",6
"154",6
"148",6
"143",6
"142",6
"138",6
"116",6
"254",5
"244",5
"242",5
"210",5
"192",5
"186",5
"179",5
"161",5
"156",5
"337",4
"322",4
"319",4
"289",4
"282",4
"260",4
"257",4
"251",4
"231",4
"218",4
"215",4
"211",4
"202",4
"201",4
"189",4
"183",4
"173",4
"165",4
"149",4
"144",4
"137",4
"963",3
"585",3
"428",3
"352",3
"324",3
"323",3
"298",3
"281",3
"272",3
"263",3
"256",3
"229",3
"207",3
"204",3
"199",3
"197",3
"191",3
"188",3
"187",3
"182",3
"181",3
"168",3
"162",3
"153",3
"151",3
"1067",3
"962",2
"907",2
"878",2
"875",2
"843",2
"744",2
"680",2
"669",2
"660",2
"625",2
"575",2
"556",2
"523",2
"520",2
"492",2
"476",2
"473",2
"471",2
"458",2
"380",2
"348",2
"333",2
"331",2
"320",2
"314",2
"312",2
"311",2
"310",2
"308",2
"307",2
"285",2
"270",2
"268",2
"265",2
"262",2
"261",2
"248",2
"245",2
"243",2
"240",2
"236",2
"233",2
"232",2
"227",2
"225",2
"224",2
"221",2
"216",2
"206",2
"203",2
"200",2
"196",2
"185",2
"184",2
"180",2
"169",2
"167",2
"166",2
"159",2
"1561",2
"1468",2
"1187",2
"1064",2
"1050",2
"998",1
"995",1
"993",1
"978",1
"975",1
"9743",1
"973",1
"971",1
"9637",1
"958",1
"952",1
"951",1
"942",1
"940",1
"939",1
"937",1
"928",1
"920",1
"909",1
"905",1
"902",1
"890",1
"884",1
"874",1
"868",1
"860",1
"856",1
"844",1
"8399",1
"832",1
"831",1
"828",1
"826",1
"819",1
"813",1
"808",1
"774",1
"773",1
"771",1
"7695",1
"767",1
"748",1
"729",1
"726",1
"723",1
"721",1
"720",1
"710",1
"707",1
"700",1
"693",1
"6929",1
"692",1
"677",1
"675",1
"674",1
"670",1
"665",1
"657",1
"654",1
"652",1
"647",1
"646",1
"641",1
"631",1
"628",1
"623",1
"617",1
"615",1
"612",1
"611",1
"608",1
"606",1
"605",1
"604",1
"599",1
"595",1
"576",1
"573",1
"572",1
"571",1
"568",1
"564",1
"563",1
"554",1
"553",1
"549",1
"543",1
"537",1
"530",1
"528",1
"525",1
"524",1
"515",1
"513",1
"506",1
"505",1
"504",1
"502",1
"500",1
"497",1
"495",1
"4841",1
"481",1
"480",1
"478",1
"470",1
"451",1
"449",1
"447",1
"432",1
"431",1
"430",1
"427",1
"426",1
"424",1
"419",1
"415",1
"406",1
"405",1
"402",1
"399",1
"397",1
"393",1
"386",1
"381",1
"378",1
"377",1
"375",1
"369",1
"368",1
"353",1
"350",1
"349",1
"3486",1
"342",1
"338",1
"336",1
"332",1
"329",1
"326",1
"3225",1
"321",1
"317",1
"316",1
"313",1
"305",1
"304",1
"302",1
"297",1
"296",1
"290",1
"288",1
"287",1
"2812",1
"280",1
"279",1
"277",1
"276",1
"274",1
"271",1
"269",1
"266",1
"264",1
"259",1
"253",1
"252",1
"250",1
"2469",1
"2468",1
"246",1
"2444",1
"2408",1
"239",1
"238",1
"237",1
"235",1
"234",1
"2300",1
"230",1
"2295",1
"228",1
"2276",1
"2183",1
"2179",1
"2154",1
"2093",1
"2088",1
"208",1
"2058",1
"205",1
"2046",1
"2045",1
"1994",1
"195",1
"194",1
"193",1
"1904",1
"1845",1
"1843",1
"1842",1
"1825",1
"1788",1
"1787",1
"1784",1
"1779",1
"177",1
"1743",1
"174",1
"1731",1
"1727",1
"172",1
"1697",1
"1675",1
"1634",1
"1633",1
"1630",1
"1618",1
"158",1
"1522",1
"1484",1
"1470",1
"1469",1
"1461",1
"14290",1
"1426",1
"1357",1
"13228",1
"1300",1
"12863",1
"1260",1
"1250",1
"1223",1
"1217",1
"1203",1
"1188",1
"1181",1
"1168",1
"1157",1
"1154",1
"1135",1
"1116",1
"1100",1
"1086",1
"1076",1
"1070",1
"1052",1
"1049",1
"10384",1
"1035",1
"1029",1
"1004",1
