"make","Count"
"toyota",2530613
"ford",2117903
"honda",1601839
"chevrolet",1447001
"nissan",811708
"dodge",744346
"jeep",602893
"subaru",418280
"gmc",397598
"hyundai",373861
"volkswagen",317551
"chrysler",310146
"volvo",305230
"mercury",302842
"buick",301794
"bmw",282173
"lexus",259612
"mazda",252626
"pontiac",234869
"mercedes",230651
"acura",220464
"saturn",199560
"",187722
"cadillac",159179
"kia",147167
"audi",139678
"mitsubishi",138532
"lincoln",127666
"saab",120957
"harley",119260
"oldsmobile",109870
"infiniti",108899
"scion",52456
"suzuki",50639
"plymouth",49730
"isuzu",46569
"intl",40858
"freightliner",36833
"land rover",35355
"mini",31859
"porsche",30027
"jaguar",26350
"geo",23103
"yamaha",21519
"kawasaki",19938
"hummer",11761
"triumph",3529
"workhorse",3192
"daewoo",2295
"smart",2248
"polaris",2238
"kw",2175
"eagle",2037
"mgb",1646
"alfa romeo",1356
"ferrari",1347
"mci",1241
"classic",1087
"south",1085
"buell",1069
"piaggio",929
"fiat",819
"bentley",786
"am classic",724
"maserati",696
"roadmaster",691
"spartan",675
"ktm",634
"indian",569
"hyosung",511
"lotus",485
"winnebago",474
"aston martin",471
"aprilia",463
"image custom",434
"hardcore",434
"moto guzzi",431
"bombardier",361
"natio",357
"big bear",341
"nebraska",339
"vengeance",329
"clc",326
"big dog",320
"rolls-royce",309
"am ironhorse",229
"datsun",217
"zero",208
"kymco",200
"oshkosh",195
"santiago",151
"cagiva",145
"confederate",143
"amc",138
"titan",136
"natl",128
"john deere",126
"four horsemen",124
"peugeot",123
"strg",119
"zhongneng",118
"am general",113
"lamborghini",112
"berin",107
"repoman",106
"tantric",101
"fearless",100
"irbit",97
"chunfeng",94
"safar",90
"jmstar motorcycle",88
"rockw",86
"evolve",86
"panoz",77
"merkur",76
"ness",74
"enfield",73
"utilimaster",72
"triu",72
"darwin",68
"surfs",66
"aston",65
"sunov",64
"delorean",64
"roketa",61
"mobil",60
"intrepid",55
"athey",55
"avanti",54
"campagna",53
"lonesome road",52
"wild west",48
"motive power",47
"hurri",45
"muz",44
"lml limited",43
"morgan",42
"lifan",42
"shenke motorcycle",41
"taizhou chuanl",38
"springers",37
"boxer",37
"bajaj",35
"orange county",34
"panyu haunaner",32
"jcb",32
"bashan",30
"iveco",29
"gem",29
"thunder mt",28
"sanyang industry",28
"jim nasi customs",28
"daihatsu",26
"taizhou wangye",25
"boss hoss",25
"vento",24
"swind",24
"sterling",23
"coach",23
"rhino",21
"londo",20
"kaitong",20
"summit huawin",19
"ridley",19
"morga",19
"ironworks",19
"xingyue vehicle",18
"otawa",18
"hilltop",18
"rods rides",17
"mbz",17
"itasc",17
"benelli",16
"suckerpunch",15
"universal cycle",14
"trium",14
"rewaco-trikes",14
"johnny pag",14
"swift",13
"hardbikes",13
"bourgets",13
"yugo",12
"kwangy",12
"yamati",11
"vectrix",11
"michael d",11
"excal",11
"micp-miami",10
"linhai power mach",10
"excelsior-hender",10
"barth",9
"lond",8
"leike machine",8
"benzhou",8
"savage cycles",7
"panth",7
"merzb",7
"maybach",7
"hi-bird",7
"saxon motorcycle",6
"pierc",6
"jialing",6
"trwst",5
"gt350",5
"trim",4
"tesla",4
"spcn",4
"sacin motorcycle",4
"rover",4
"plymo",4
"ottaw",4
"int",4
"design worx",4
"creative cycles",4
"cixi konced",4
"bimota",4
"apollo",4
"zero engineer",3
"toxic cycles",3
"tombstone hearse",3
"old",3
"nanfang space",3
"mobat",3
"miltt",3
"kais",3
"jagua",3
"black label",3
"ameri",3
"zongshen",2
"vol",2
"taiwan goldenbee",2
"qingqi group",2
"panos",2
"motofino",2
"fmc",2
"brammo",2
