"curbwt","Count"
"3300",1103356
"3100",1083796
"3400",989396
"3500",978333
"",839542
"3200",827856
"4000",652583
"3000",560343
"3900",559259
"2600",524453
"3600",524414
"2900",517721
"4100",497592
"3700",482182
"3800",475971
"4300",459298
"2800",453427
"4500",450086
"2400",394592
"2700",367655
"2500",365137
"4200",332382
"4600",303925
"4400",300307
"5300",209990
"5000",208735
"4700",196622
"2300",187120
"5400",145321
"4800",133638
"5100",132914
"5500",118147
"5200",111190
"5600",103685
"5700",99031
"4900",80510
"5800",76898
"6000",48999
"6100",38157
"5900",31973
"2200",28165
"2000",22649
"6200",22308
"6400",21214
"2100",21014
"6300",19143
"7200",9540
"6700",8719
"6600",5297
"6500",5278
"1800",3023
"1900",2832
"7100",2053
"6800",1413
"7000",1063
"6900",1057
"8300",615
"7300",602
"1400",564
"7500",538
"1700",485
"7400",384
"7600",373
"8700",260
"1600",153
"7800",43
"8000",24
"8600",18
"8200",7
"7700",7
"7900",6
