"msrp","Count"
"21000",1054234
"22000",906306
"24000",831013
"20000",810176
"23000",778103
"25000",764780
"",677950
"19000",617416
"29000",605465
"26000",583970
"18000",558311
"16000",554011
"15000",543406
"27000",522159
"17000",512320
"30000",509615
"31000",495449
"28000",456022
"32000",447176
"14000",433398
"33000",335274
"13000",329722
"34000",299413
"35000",286588
"36000",249762
"37000",233338
"12000",166814
"39000",164874
"38000",127111
"11000",120730
"41000",109526
"40000",106787
"43000",82819
"42000",62541
"46000",61478
"0",61410
"45000",58555
"44000",57259
"10000",47855
"47000",47665
"52000",38105
"48000",30253
"50000",29671
"49000",26923
"9000",25955
"53000",23954
"51000",23950
"56000",21107
"54000",19520
"55000",18727
"57000",15197
"3000",14020
"8000",12121
"58000",10911
"7000",9603
"62000",9322
"5000",7633
"60000",6230
"61000",5976
"76000",5691
"4000",5249
"64000",5086
"90000",5030
"69000",4896
"68000",4859
"65000",4830
"70000",4829
"73000",4814
"78000",4803
"2000",4721
"66000",4488
"63000",4036
"72000",3884
"59000",3848
"71000",3327
"67000",3245
"87000",3052
"74000",3051
"79000",2669
"77000",2547
"6000",2534
"82000",2532
"83000",2324
"75000",1977
"80000",1812
"93000",1741
"85000",1673
"86000",1552
"95000",1519
"81000",1503
"92000",1497
"96000",1164
"1000",1117
"88000",1076
"84000",1010
"94000",797
"91000",771
"100000",575
"89000",521
"124000",381
"98000",314
"121000",310
"97000",283
"120000",279
"102000",275
"99000",267
"129000",262
"135000",244
"127000",239
"159000",231
"115000",231
"112000",213
"105000",212
"104000",211
"101000",185
"114000",184
"111000",166
"130000",165
"103000",163
"107000",159
"131000",156
"116000",131
"137000",120
"128000",118
"168000",115
"110000",114
"119000",106
"106000",103
"148000",101
"126000",101
"118000",88
"151000",86
"150000",85
"108000",85
"133000",80
"113000",79
"141000",75
"176000",74
"199000",73
"171000",73
"193000",68
"167000",68
"109000",63
"194000",54
"153000",53
"180000",49
"132000",49
"182000",47
"170000",45
"144000",45
"138000",43
"162000",40
"178000",39
"217000",38
"134000",37
"173000",34
"139000",34
"219000",33
"206000",32
"186000",32
"122000",31
"146000",30
"191000",28
"211000",27
"143000",27
"183000",25
"157000",25
"210000",24
"136000",24
"330000",23
"154000",23
"123000",23
"197000",22
"125000",20
"156000",19
"195000",18
"187000",18
"175000",18
"117000",18
"207000",17
"261000",16
"200000",16
"188000",16
"303000",14
"233000",13
"149000",13
"145000",13
"269000",12
"256000",12
"221000",12
"216000",12
"169000",12
"147000",12
"140000",12
"321000",11
"495000",10
"179000",10
"142000",10
"341000",9
"282000",9
"225000",9
"283000",8
"257000",8
"250000",8
"453000",7
"249000",7
"155000",7
"334000",6
"152000",6
"351000",5
"335000",5
"333000",5
"232000",5
"215000",5
"208000",5
"190000",5
"185000",5
"174000",5
"172000",5
"166000",5
"158000",5
"441000",4
"361000",4
"336000",4
"300000",4
"273000",4
"264000",4
"258000",4
"246000",4
"222000",4
"202000",4
"177000",4
"403000",3
"354000",3
"318000",3
"201000",3
"164000",3
"423000",2
"415000",2
"320000",2
"237000",2
"198000",2
"192000",2
"181000",2
"161000",2
"645000",1
"327000",1
"247000",1
"245000",1
"230000",1
"213000",1
"209000",1
"203000",1
"163000",1
