"mpg2008","Count"
"21",1825604
"20",1212557
"22",1135033
"19",1130180
"23",1124616
"",1120129
"18",1108958
"16",1086335
"15",904962
"17",831011
"25",819205
"14",770094
"24",671094
"27",395483
"29",362292
"26",331140
"30",290192
"28",271760
"13",262764
"31",195403
"12",94562
"32",46659
"51",30544
"11",29031
"47",25710
"36",10339
"10",9507
"33",8677
"34",7218
"9",7092
"44",6321
"50",6111
"37",3868
"35",3720
"40",2582
"8",2248
"38",1144
"57",461
"58",395
"54",171
"39",150
"46",27
"41",21
"62",11
"42",2
